Title,Authors
Investigating the Spatiotemporal Relationship between the Built Environment and COVID-19 Transmission.,"Hao Huang,Siu Ming Lo,Haochen Shi,Jin Yeu Tsou,Mirna Zordan"
Analysis of PM2.5 Synergistic Governance Path from a Socio-Economic Perspective: A Case Study of Guangdong Province.,"Xinlei Jin,Kunkun Fan,Cong Li,Zhan Zeng,Daichao Li,Fei Ding"
Construction and Analysis of Space-Time Paths for Moving Polygon Objects Based on Time Geography: A Case Study of Crime Events in the City of London.,"Zhang-Cai Yin,Yuan Chen,Shen Ying"
HexTile: A Hexagonal DGGS-Based Map Tile Algorithm for Visualizing Big Remote Sensing Data in Spark.,"Shuai Yan,Guoqing Li,Guojiang Yu,Long Zhao,Xiaochuang Yao,Dehai Zhu"
A Spatial Information Extraction Method Based on Multi-Modal Social Media Data: A Case Study on Urban Inundation.,"Yingjie Chen,Xinyi Liu,Yilong Wu,Rongyu Zhang,Meizhen Wang,Jiayi Zhang,Yong Wu,Zhenfei Cui"
An Automated Mapping Method of 3D Geological Cross-Sections Using 2D Geological Cross-Sections and a DEM.,"Shuang Li,Yangen Shen,Hao Shang,Anbo Li,Tao Zhang"
High-Speed Railway Access Pattern and Spatial Overlap Characteristics of the Yellow River Basin Urban Agglomeration.,"Yajun Xiong,Hui Tang,Tao Xu"
Spatial Pattern and Drivers of China's Public Cultural Facilities between 2012 and 2020 Based on POI and Statistical Data.,"Xiaoteng Cao,Kaixu Zhao,Chao Chen,Fengqi Wu"
Question Classification for Intelligent Question Answering: A Comprehensive Survey.,"Wen Yuan,Shu Wang,Yunqiang Zhu,Zhiqiang Zou,Hao Sun"
Growth Simulations of Urban Underground Space with Ecological Constraints Using a Patch-Based Cellular Automaton.,"Lingxiang Wei,Yanhua Wu,Yingying Hu,Dongjun Guo,Zhilong Chen,Junyuan Ji"
Spatio-Temporal Transformer Recommender: Next Location Recommendation with Attention Mechanism by Mining the Spatio-Temporal Relationship between Visited Locations.,"Zhiqiang Zou,Shuqiang Xu,Qunying Huang"
Efficient Construction of Voxel Models for Ore Bodies Using an Improved Winding Number Algorithm and CUDA Parallel Computing.,"Yong Sun,Jiantao Liu,Huimeng Wang,Min Ji,Lei Liu"
LBS Tag Cloud: A Centralized Tag Cloud for Visualization of Points of Interest in Location-Based Services.,"Xiaoqiang Cheng,Haibo Xiao,Zhongyu Liu,Huayi Wu"
Evaluation of Supply-Demand Matching of Public Health Resources Based on Ga2SFCA: A Case Study of the Central Urban Area of Tianjin.,"Jian Zeng,Xiaoyu Guo,Suiping Zeng,Aihemaiti Namaiti"
"Landscape Sensitivity Assessment of Historic Districts Using a GIS-Based Method: A Case Study of Beishan Street in Hangzhou, China.","Jie Shen,Xueyan Yang"
Effectiveness of Rectangular Cartogram for Conveying Quantitative Information: An Eye Tracking-Based Evaluation.,"Jian Yang,Tingting Li,Fenli Jia,Yeqiu Xu,Weiming Wang,Guomin Song"
Analysis of Spatial-Temporal Evolution Pattern and Its Influencing Factors of Warehouse Supermarkets in Liaoning Province.,"Hao Zhang,Hao Huang,Ye Duan,Di Li,Zenglin Han,Hongye Wang"
A Novel Approach for Mining Spatiotemporal Explicit and Implicit Information in Multiscale Spatiotemporal Data.,"Jianfei Wang,Wen Cao"
Risk Assessment of Landslide Collapse Disasters along National Highways Based on Information Quantity and Random Forest Coupling Methods: A Case Study of the G331 National Highway.,"Zengkai Pan,Yichen Zhang,Jiquan Zhang,Yanan Chen,Zuoquan Nie,Qiuling Lang"
Multiuser Incomplete Preference K-Nearest Neighbor Query Method Based on Differential Privacy in Road Network.,"Song Li,Xiaojing Zhang,Liping Zhang"
A New Algorithm for Large-Scale Geographically Weighted Regression with K-Nearest Neighbors.,"Jiakuan Han,Shenghua Xu,Zhengyuan Chai,Yi Yang,Gang Yang,Xiaoyue Yang"
ChineseCTRE: A Model for Geographical Named Entity Recognition and Correction Based on Deep Neural Networks and the BERT Model.,"Chengkun Zhang,Jianhua Wan,Yuanyuan Wang,Jingtao Meng,Liuchang Xu,Jiajun Zhang,Wei Zhang,Fei Li"
Identify Important Cities in the Belt and Road Comprehensive Traffic Network.,"Cuiping Ren,Fengjie Xie,Xiao Wang"
